0,1,2,3,4,5
"2019-05-04, 17:00", ,Stumbras,0 : 3,Riteriai,LFF Kauno treniruočių centro st.
"2019-04-27, 20:00", ,Riteriai,1 : 2,Sūduva,LFF stadionas
"2019-04-27, 17:00", ,K. Žalgiris,2 : 1,Atlantas,LFF Kauno treniruočių centro st.
"2019-04-27, 15:00", ,Palanga,1 : 4,Žalgiris,Klaipėdos dirbtinės dangos st.
"2019-04-27, 13:00", ,Panevėžys,1 : 1,Stumbras,„Žemynos“ progimnazijos stadionas
"2019-04-20, 15:00", ,Riteriai,0 : 0,Atlantas,LFF stadionas
"2019-04-20, 13:00", ,Palanga,2 : 1,Stumbras,Klaipėdos dirbtinės dangos st.
"2019-04-19, 19:00", ,Žalgiris,3 : 1,K. Žalgiris,LFF stadionas
"2019-04-19, 17:30", ,Panevėžys,1 : 2,Sūduva,„Žemynos“ progimnazijos stadionas
"2019-04-14, 17:00", ,Sūduva,3 : 0,Palanga,Marijampolės futbolo arenos stadionas
"2019-04-14, 15:00", ,Atlantas,2 : 1,Panevėžys,Klaipėdos dirbtinės dangos st.
"2019-04-13, 17:30", ,Stumbras,1 : 0,Žalgiris,LFF Kauno treniruočių centro st.
"2019-04-13, 13:00", ,K. Žalgiris,3 : 1,Riteriai,LFF Kauno treniruočių centro st.
"2019-04-07, 19:00", ,Žalgiris,1 : 0,Sūduva,LFF stadionas
"2019-04-07, 17:00", ,Panevėžys,1 : 2,Riteriai,„Žemynos“ progimnazijos stadionas
"2019-04-06, 17:00", ,Stumbras,0 : 1,K. Žalgiris,LFF Kauno treniruočių centro st.
"2019-04-06, 13:00", ,Palanga,2 : 1,Atlantas,Klaipėdos dirbtinės dangos st.
"2019-04-02, 19:00", ,Riteriai,3 : 1,Palanga,LFF stadionas
"2019-03-31, 17:00", ,Stumbras,2 : 0,Sūduva,LFF Kauno treniruočių centro st.
"2019-03-30, 13:00", ,K. Žalgiris,2 : 0,Panevėžys,LFF Kauno treniruočių centro st.
"2019-03-30, 13:00", ,Atlantas,0 : 3,Žalgiris,Klaipėdos dirbtinės dangos st.
"2019-03-17, 15:00", ,Palanga,1 : 1,Panevėžys,Klaipėdos dirbtinės dangos st.
"2019-03-16, 17:00", ,Sūduva,1 : 0,K. Žalgiris,Marijampolės futbolo arenos maniežas
"2019-03-16, 15:00", ,Stumbras,2 : 0,Atlantas,LFF Kauno treniruočių centro st.
"2019-03-15, 19:30", ,Žalgiris,1 : 1,Riteriai,„Sportima“
"2019-03-11, 19:30", ,Riteriai,0 : 0,Stumbras,„Sportima“
"2019-03-10, 15:00", ,Atlantas,0 : 5,Sūduva,Klaipėdos dirbtinės dangos st.
"2019-03-09, 15:00", ,Panevėžys,0 : 3,Žalgiris,„Žemynos“ progimnazijos stadionas
"2019-03-09, 13:00", ,K. Žalgiris,6 : 1,Palanga,LFF Kauno treniruočių centro st.
"2019-03-03, 19:30", ,Žalgiris,5 : 1,Palanga,„Sportima“
"2019-03-03, 17:00", ,Sūduva,2 : 1,Riteriai,Marijampolės futbolo arenos maniežas
"2019-03-02, 17:00", ,Stumbras,1 : 0,Panevėžys,LFF Kauno treniruočių centro st.
"2019-03-02, 15:00", ,Atlantas,2 : 0,K. Žalgiris,Klaipėdos dirbtinės dangos st.
"2018-11-11, 13:00", ,Atlantas,1 : 5,Riteriai,Klaipėdos dirbtinės dangos st.
"2018-11-11, 13:00", ,Sūduva,1 : 2,Žalgiris,Marijampolės futbolo arenos stadionas
"2018-11-11, 13:00", ,K. Žalgiris,1 : 2,Stumbras,LFF Kauno treniruočių centro st.
"2018-11-07, 20:00", ,Sūduva,6 : 0,Atlantas,Marijampolės futbolo arenos stadionas
"2018-11-07, 18:00", ,Žalgiris,5 : 2,K. Žalgiris,LFF stadionas
"2018-11-07, 18:00", ,Stumbras,0 : 3,Riteriai,LFF Kauno treniruočių centro st.
"2018-11-03, 18:00", ,Žalgiris,0 : 0,Atlantas,LFF stadionas
"2018-11-03, 13:00", ,Stumbras,1 : 4,Sūduva,LFF Kauno treniruočių centro st.
"2018-11-03, 13:00", ,Riteriai,1 : 0,K. Žalgiris,LFF stadionas
"2018-10-31, 20:00", ,Žalgiris,2 : 0,Stumbras,LFF stadionas
"2018-10-31, 18:00", ,Atlantas,1 : 3,K. Žalgiris,Klaipėdos dirbtinės dangos st.
"2018-10-31, 18:00", ,Sūduva,1 : 0,Riteriai,Marijampolės futbolo arenos stadionas
"2018-10-28, 17:00", ,Stumbras,6 : 0,Atlantas,LFF Kauno treniruočių centro st.
"2018-10-28, 13:00", ,Riteriai,0 : 1,Žalgiris,LFF stadionas
"2018-10-28, 13:00", ,K. Žalgiris,1 : 1,Sūduva,LFF Kauno treniruočių centro st.
"2018-10-24, 18:00", ,Žalgiris,3 : 1,Atlantas,LFF stadionas
"2018-10-24, 18:00", ,Sūduva,1 : 0,K. Žalgiris,Marijampolės futbolo arenos stadionas
"2018-10-24, 16:00", ,Palanga,1 : 5,Stumbras,Palangos m. stadionas
"2018-10-21, 13:00", ,Jonava,1 : 2,Sūduva,Jonavos m. stadionas
"2018-10-21, 13:00", ,Žalgiris,2 : 2,Riteriai,LFF stadionas
"2018-10-17, 18:00", ,Žalgiris,2 : 1,Jonava,LFF stadionas
"2018-10-07, 13:00", ,Atlantas,1 : 5,Žalgiris,Klaipėdos m. centrinis stadionas
"2018-10-07, 13:00", ,Stumbras,1 : 2,Sūduva,LFF Kauno treniruočių centro st.
"2018-10-05, 16:00", ,K. Žalgiris,2 : 0,Palanga,Dariaus ir Girėno stadionas
"2018-10-04, 20:00", ,Riteriai,1 : 0,Žalgiris,LFF stadionas
